Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
384,Greg Smith,24,DAL,PF,42,2,363,3.0,4.9,.612,0.0,0.0,,3.0,4.9,.612,.612,2.0,3.9,.513,2.6,5.3,7.8,0.9,0.7,1.1,1.1,5.3,7.9,,smithgr02
385,Kyle Anderson,21,SAS,SF,33,8,358,3.1,8.9,.348,0.3,1.1,.273,2.8,7.8,.359,.365,0.9,1.4,.643,0.5,6.7,7.2,2.8,1.5,0.7,1.0,2.8,7.4,,anderky01
386,Martell Webster,28,WAS,SF,32,0,352,2.5,9.3,.264,1.0,4.4,.233,1.4,4.9,.292,.319,4.9,6.5,.750,1.0,3.7,4.7,1.7,0.7,0.1,2.3,2.5,10.8,,webstma02
387,Austin Daye,26,2TM,SF,34,4,344,5.2,14.8,.355,2.5,7.4,.338,2.7,7.3,.371,.440,0.5,0.6,.833,1.0,6.8,7.8,1.8,1.3,0.5,2.4,4.1,13.5,,dayeau01
387,Austin Daye,26,SAS,SF,26,4,268,5.4,15.4,.348,2.6,7.7,.333,2.8,7.8,.362,.430,0.5,0.5,1.000,0.8,7.4,8.2,1.2,1.1,0.4,2.4,4.0,13.8,,dayeau01
387,Austin Daye,26,ATL,SF,8,0,76,4.7,12.3,.385,2.4,6.6,.357,2.4,5.7,.417,.481,0.5,0.9,.500,1.9,4.7,6.6,3.8,1.9,0.9,2.4,4.3,12.3,,dayeau01
388,Reggie Bullock,23,2TM,SF,36,2,338,2.6,7.5,.343,1.6,4.9,.326,1.0,2.6,.375,.450,0.6,1.0,.667,0.1,5.2,5.3,0.9,1.1,0.4,0.9,2.0,7.3,,bullore01
388,Reggie Bullock,23,LAC,SF,25,2,263,3.1,7.4,.426,2.1,5.3,.385,1.1,2.1,.533,.565,0.5,0.7,.800,0.0,5.5,5.5,0.8,1.2,0.3,0.8,2.3,8.9,,bullore01
388,Reggie Bullock,23,PHO,SF,11,0,75,0.5,7.7,.063,0.0,3.4,.000,0.5,4.3,.111,.063,1.0,1.9,.500,0.5,4.3,4.8,1.0,0.5,1.0,1.0,1.0,1.9,,bullore01
389,James Young,19,BOS,SG,31,0,332,3.9,11.1,.353,1.8,7.2,.258,2.1,3.9,.528,.436,1.7,3.1,.552,1.0,3.6,4.6,1.4,0.9,0.2,0.5,2.4,11.4,,youngja01
390,Sebastian Telfair,29,OKC,PG,16,1,327,5.1,13.8,.368,2.0,6.6,.300,3.1,7.2,.431,.440,2.6,3.7,.706,0.2,3.1,3.3,5.0,1.1,0.0,2.0,3.2,14.8,,telfase01
391,A.J. Price,28,3TM,PG,26,0,324,5.7,15.2,.372,1.7,6.3,.263,4.0,8.9,.450,.427,1.8,2.7,.667,0.7,2.9,3.6,5.1,0.8,0.0,1.6,1.7,14.8,,priceaj01
391,A.J. Price,28,IND,PG,10,0,193,7.3,16.6,.438,2.8,7.3,.385,4.5,9.3,.480,.522,2.2,3.4,.667,0.4,2.2,2.6,5.0,0.7,0.0,1.9,1.7,19.6,,priceaj01
391,A.J. Price,28,CLE,PG,11,0,87,3.7,14.1,.265,0.0,4.6,.000,3.7,9.5,.391,.265,1.7,2.5,.667,1.7,4.6,6.2,5.4,1.2,0.0,1.2,0.4,9.1,,priceaj01
391,A.J. Price,28,PHO,PG,5,0,44,2.5,11.5,.214,0.0,5.7,.000,2.5,5.7,.429,.214,0.0,0.0,,0.0,2.5,2.5,4.9,0.0,0.0,0.8,4.1,4.9,,priceaj01
392,Doug McDermott,23,CHI,SF,36,0,321,4.8,12.0,.402,1.5,4.6,.317,3.4,7.4,.455,.463,1.1,1.7,.667,0.7,4.1,4.8,0.7,0.4,0.1,1.9,3.3,12.2,,mcderdo01
393,Darius Morris,24,BRK,PG,38,0,299,4.3,12.8,.340,0.8,4.0,.212,3.5,8.8,.397,.373,0.5,1.1,.444,0.8,2.4,3.3,5.8,1.1,0.0,2.5,2.4,10.0,,morrida01
394,John Jenkins,23,ATL,SG,24,3,297,5.9,12.0,.495,2.5,6.3,.404,3.4,5.7,.596,.601,1.9,2.3,.842,0.2,4.5,4.7,1.6,1.2,0.0,1.0,1.8,16.4,,jenkijo01
395,Josh McRoberts,27,MIA,PF,17,4,296,3.4,6.4,.528,1.0,2.3,.421,2.4,4.1,.588,.604,1.0,1.6,.615,0.9,4.6,5.5,4.0,1.5,0.4,2.7,5.0,8.8,,mcrobjo01
396,Gerald Wallace,32,BOS,SF,32,0,286,1.8,4.3,.412,0.1,0.4,.333,1.6,3.9,.419,.426,0.8,1.9,.400,2.1,5.0,7.2,1.4,1.9,0.5,2.3,2.4,4.4,,wallage01
397,Raymond Felton,30,DAL,PG,29,3,281,5.5,13.6,.406,1.3,4.4,.294,4.2,9.2,.458,.453,1.5,1.9,.800,0.3,3.1,3.3,5.3,1.4,0.5,2.3,2.2,13.8,,feltora01
